"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"RNF1811",1.82445163393758e-08,0.285090764891232,0.748,0.448,0.000412307824753553,"7","RNF181",0.3
"POLD21",1.99893092912224e-08,0.267706835940188,0.471,0.225,0.000451738400672334,"7","POLD2",0.246
"INSIG1",2.86184984913717e-08,0.512045291161598,0.429,0.211,0.000646749447406509,"7","INSIG1",0.218
"NEAT13",3.84952290428381e-08,0.62602869208365,0.79,0.542,0.000869953681139098,"7","NEAT1",0.248
"NAXE1",4.98993332408294e-08,0.259186113267363,0.571,0.321,0.0011276750319095,"7","NAXE",0.25
"NDUFAF3",5.13731883245e-08,0.305986915339656,0.773,0.478,0.00116098268294537,"7","NDUFAF3",0.295
"ILF21",6.51513850470709e-08,0.433339523018975,0.756,0.484,0.00147235615067875,"7","ILF2",0.272
"OGT",6.73068639555752e-08,0.264680349816536,0.613,0.339,0.00152106781853204,"7","OGT",0.274
"MSI2",7.87080467660855e-08,0.263077539148534,0.403,0.184,0.00177872314886677,"7","MSI2",0.219
"CDCA7L2",9.36805425377417e-08,0.276587517828855,0.387,0.176,0.00211708658081043,"7","CDCA7L",0.211
"PDIA31",1.37039586730248e-07,0.659360663490728,0.849,0.686,0.00309695762051688,"7","PDIA3",0.163
"MPG1",1.5130152582535e-07,0.260629301496597,0.706,0.402,0.00341926318212708,"7","MPG",0.304
"OST4",1.59080939124328e-07,0.34954113401794,0.899,0.872,0.0035950701432707,"7","OST4",0.027
"COPZ11",1.77003633094714e-07,0.25696337517572,0.723,0.443,0.00400010510430743,"7","COPZ1",0.28
"HSBP12",2.6880035040017e-07,0.316387640101023,0.639,0.355,0.00607461911869343,"7","HSBP1",0.284
