"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"IL7R",0,1.34487457467576,0.829,0.198,0,"0","IL7R",0.631
"TCF7",0,0.945295161566538,0.737,0.181,0,"0","TCF7",0.556
"CCR7",0,0.92641762526856,0.75,0.342,0,"0","CCR7",0.408
"LEF1",0,0.917408119929879,0.638,0.193,0,"0","LEF1",0.445
"NOSIP",0,0.896710410603708,0.752,0.489,0,"0","NOSIP",0.263
"LTB",0,0.859752067678723,0.951,0.64,0,"0","LTB",0.311
"FLT3LG",0,0.76966037117198,0.563,0.177,0,"0","FLT3LG",0.386
"RPS12",0,0.760265860607923,0.998,0.992,0,"0","RPS12",0.00600000000000001
"TPT1",0,0.699710025445657,0.997,0.985,0,"0","TPT1",0.012
"AQP3",0,0.67548292521035,0.451,0.119,0,"0","AQP3",0.332
"SARAF",0,0.673265388159467,0.973,0.867,0,"0","SARAF",0.106
"RPL32",0,0.662144724072323,0.998,0.989,0,"0","RPL32",0.00900000000000001
"RPS14",0,0.649276367454351,0.998,0.987,0,"0","RPS14",0.011
"RPL30",0,0.644437984048962,0.999,0.992,0,"0","RPL30",0.00700000000000001
"JUNB",0,0.641888791966147,0.841,0.736,0,"0","JUNB",0.105
"FXYD5",0,0.637806323794408,0.96,0.827,0,"0","FXYD5",0.133
"RPL34",0,0.632157469663153,0.999,0.988,0,"0","RPL34",0.011
"IFITM1",0,0.63204863231782,0.972,0.752,0,"0","IFITM1",0.22
"LDLRAP1",0,0.630431178237651,0.457,0.107,0,"0","LDLRAP1",0.35
"RPS3A",0,0.621391647784392,0.998,0.988,0,"0","RPS3A",0.01
"SELL",0,0.608571877484021,0.845,0.561,0,"0","SELL",0.284
"RPL3",0,0.60349341035967,0.995,0.975,0,"0","RPL3",0.02
"CD40LG",0,0.603230344012155,0.327,0.051,0,"0","CD40LG",0.276
"EEF1B2",0,0.58882970326196,0.991,0.947,0,"0","EEF1B2",0.044
"EEF1A1",0,0.581773914392747,1,0.998,0,"0","EEF1A1",0.002
"CAMK4",0,0.580846526089002,0.487,0.201,0,"0","CAMK4",0.286
"RPL21",0,0.573858730226459,0.99,0.965,0,"0","RPL21",0.025
"ZFP36L2",0,0.562599919298516,0.946,0.751,0,"0","ZFP36L2",0.195
"ACTN1",0,0.561088494342721,0.335,0.071,0,"0","ACTN1",0.264
"RPS28",0,0.55924370342218,0.999,0.992,0,"0","RPS28",0.00700000000000001
"PABPC1",0,0.553443849663423,0.989,0.955,0,"0","PABPC1",0.034
"MAL",0,0.553022510721064,0.508,0.144,0,"0","MAL",0.364
"TXNIP",0,0.547449694183392,0.928,0.718,0,"0","TXNIP",0.21
"RPL9",0,0.545225917711263,0.994,0.971,0,"0","RPL9",0.023
"LINC00861",0,0.537039638979606,0.489,0.197,0,"0","LINC00861",0.292
"PIK3IP1",0,0.531274238976164,0.631,0.324,0,"0","PIK3IP1",0.307
"RPL13",0,0.531013376866824,0.998,0.993,0,"0","RPL13",0.005
"TSC22D3",0,0.529460539936735,0.844,0.591,0,"0","TSC22D3",0.253
"RPS21",0,0.528200417879546,0.998,0.985,0,"0","RPS21",0.013
"TMEM123",0,0.527870638440819,0.687,0.448,0,"0","TMEM123",0.239
"RPS6",0,0.523504396095509,0.995,0.979,0,"0","RPS6",0.016
"RPL10",0,0.523257607740129,0.999,0.996,0,"0","RPL10",0.003
"RPL11",0,0.520008977915793,0.999,0.994,0,"0","RPL11",0.005
"RPL14",0,0.518908237848318,0.997,0.986,0,"0","RPL14",0.011
"RPL39",0,0.514934164020813,0.999,0.988,0,"0","RPL39",0.011
"RPS25",0,0.514572336776819,0.996,0.982,0,"0","RPS25",0.014
"RPL5",0,0.51296309510877,0.997,0.981,0,"0","RPL5",0.016
"RPL38",0,0.512089723176048,0.98,0.931,0,"0","RPL38",0.0489999999999999
"RPS3",0,0.50902321769781,0.999,0.99,0,"0","RPS3",0.00900000000000001
"LEPROTL1",0,0.504482889100615,0.717,0.48,0,"0","LEPROTL1",0.237
"RPS27A",0,0.495440462165491,0.998,0.992,0,"0","RPS27A",0.00600000000000001
"RPS13",0,0.495420209712143,0.997,0.987,0,"0","RPS13",0.01
"RPS29",0,0.493518310396467,0.99,0.972,0,"0","RPS29",0.018
"RPL19",0,0.487126859406985,0.998,0.991,0,"0","RPL19",0.00700000000000001
"RPS15A",0,0.483603603200478,0.998,0.991,0,"0","RPS15A",0.00700000000000001
"TRABD2A",0,0.479097016377541,0.269,0.047,0,"0","TRABD2A",0.222
"RPL35A",0,0.475492499105155,0.998,0.984,0,"0","RPL35A",0.014
"RPL36",0,0.463657785887057,0.994,0.98,0,"0","RPL36",0.014
"RPL36A",0,0.452038924362664,0.967,0.915,0,"0","RPL36A",0.0519999999999999
"LDHB",0,0.438146965738702,0.95,0.819,0,"0","LDHB",0.131
"RPS8",0,0.435521480955443,0.999,0.992,0,"0","RPS8",0.00700000000000001
"RPL10A",0,0.432549371492797,0.991,0.959,0,"0","RPL10A",0.032
"RPS4X",0,0.430190625206813,0.997,0.99,0,"0","RPS4X",0.00700000000000001
"RPL22",0,0.427288170428861,0.994,0.973,0,"0","RPL22",0.021
"RPL4",0,0.422600463232818,0.984,0.939,0,"0","RPL4",0.045
"CD7",0,0.41911312560144,0.877,0.47,0,"0","CD7",0.407
"RPS23",0,0.418358141597063,0.998,0.987,0,"0","RPS23",0.011
"RPS27",0,0.411856590849876,0.998,0.993,0,"0","RPS27",0.005
"RPL37",0,0.40870024947507,0.998,0.988,0,"0","RPL37",0.01
"RPL29",0,0.404413204049049,0.998,0.984,0,"0","RPL29",0.014
"RPLP2",0,0.4014616639208,0.997,0.987,0,"0","RPLP2",0.01
"TOMM7",0,0.397965015276247,0.962,0.908,0,"0","TOMM7",0.0539999999999999
"RPSA",0,0.394898261609342,0.994,0.973,0,"0","RPSA",0.021
"RPL18A",0,0.392179991296133,0.999,0.99,0,"0","RPL18A",0.00900000000000001
"GIMAP7",0,0.39080606199942,0.851,0.483,0,"0","GIMAP7",0.368
"RPS18",0,0.389054862089159,0.997,0.986,0,"0","RPS18",0.011
"RPL41",0,0.380704615628368,0.999,0.997,0,"0","RPL41",0.002
"RPL27",0,0.371205027067985,0.979,0.934,0,"0","RPL27",0.0449999999999999
"RPL26",0,0.368770977457336,0.994,0.973,0,"0","RPL26",0.021
"RPS9",0,0.356102159315224,0.992,0.961,0,"0","RPS9",0.031
"RPL31",0,0.353136344020306,0.977,0.93,0,"0","RPL31",0.0469999999999999
"NACA",0,0.343989151017891,0.995,0.98,0,"0","NACA",0.015
"RPLP1",0,0.332793936126656,0.999,0.996,0,"0","RPLP1",0.003
"RPL23A",0,0.327197569168858,0.994,0.976,0,"0","RPL23A",0.018
"RPS16",0,0.323978463364974,0.993,0.971,0,"0","RPS16",0.022
"EEF1D",0,0.307938019715899,0.99,0.975,0,"0","EEF1D",0.015
"RPL12",0,0.304148325781212,0.998,0.989,0,"0","RPL12",0.00900000000000001
"EEF2",0,0.303269952223743,0.982,0.948,0,"0","EEF2",0.034
"PFDN5",0,0.287995582849287,0.98,0.951,0,"0","PFDN5",0.029
"RPS2",0,0.287974582810361,0.998,0.989,0,"0","RPS2",0.00900000000000001
"RPL6",0,0.281414444628422,0.997,0.987,0,"0","RPL6",0.01
"FAU",0,0.265841035901726,0.997,0.987,0,"0","FAU",0.01
"RPS19",0,0.263516421498187,0.998,0.99,0,"0","RPS19",0.00800000000000001
"RPL8",0,0.257193293550536,0.998,0.989,0,"0","RPL8",0.00900000000000001
"RPL24",0,0.252038373428587,0.993,0.976,0,"0","RPL24",0.017
"KLF2",4.69405097338856e-306,0.517820106680976,0.538,0.269,1.06080857947608e-301,"0","KLF2",0.269
"C1orf162",2.9598820988067e-304,0.481871391823905,0.403,0.153,6.68903755509327e-300,"0","C1orf162",0.25
"RPS20",3.24354402716526e-303,0.393008474516263,0.899,0.815,7.33008514699077e-299,"0","RPS20",0.0840000000000001
"OXNAD1",4.11839854128529e-296,0.48013299659596,0.474,0.213,9.30716886345062e-292,"0","OXNAD1",0.261
"VIM",4.69435298043373e-291,0.434970401760302,0.894,0.684,1.06087683004822e-286,"0","VIM",0.21
"FOS",1.91686962542819e-281,0.720588391364468,0.736,0.575,4.33193366650518e-277,"0","FOS",0.161
"CD69",8.33841045617943e-280,0.442132689207414,0.707,0.425,1.88439737899199e-275,"0","CD69",0.282
"SATB1",5.7636588190795e-277,0.411263112060211,0.354,0.126,1.30252925652378e-272,"0","SATB1",0.228
"RCAN3",1.27744864066538e-270,0.42447521010699,0.35,0.129,2.8869061830397e-266,"0","RCAN3",0.221
"ANXA1",2.07039178225118e-269,0.531901553304169,0.412,0.169,4.67887838870944e-265,"0","ANXA1",0.243
"SCML4",5.94011294821688e-264,0.431068108432956,0.352,0.128,1.34240612516753e-259,"0","SCML4",0.224
"ICAM2",5.97669193651447e-255,0.44101583323946,0.488,0.256,1.35067261073291e-250,"0","ICAM2",0.232
"PDE3B",4.04225625426594e-248,0.383710550684942,0.327,0.116,9.13509490901559e-244,"0","PDE3B",0.211
"AAK1",2.84073576262169e-237,0.416993477162624,0.459,0.226,6.41977874994876e-233,"0","AAK1",0.233
"CYTIP",2.21498275494228e-236,0.40519795623793,0.738,0.521,5.00563952789405e-232,"0","CYTIP",0.217
"MGAT4A",1.39675644276321e-227,0.364659577752136,0.384,0.165,3.15652988500059e-223,"0","MGAT4A",0.219
"GIMAP5",3.13124287704761e-227,0.393108267927448,0.538,0.284,7.07629577783988e-223,"0","GIMAP5",0.254
"RPL7",1.64167806036213e-224,0.263690149968815,0.975,0.928,3.71002824861237e-220,"0","RPL7",0.0469999999999999
"RPL17",2.01588837581576e-221,0.456541481247083,0.921,0.863,4.55570614050605e-217,"0","RPL17",0.0580000000000001
"EMP3",2.26167499162438e-220,0.376208322239898,0.732,0.521,5.11115931357194e-216,"0","EMP3",0.211
"GIMAP1",1.96152922421131e-216,0.368945864753539,0.519,0.27,4.43285989379514e-212,"0","GIMAP1",0.249
"EIF3E",5.29900128076513e-211,0.360209087445054,0.834,0.736,1.19752129944011e-206,"0","EIF3E",0.098
"CD6",2.69640815105229e-210,0.321927693703746,0.564,0.296,6.09361278056307e-206,"0","CD6",0.268
"PLAC8",3.2424551180846e-209,0.330059328500009,0.393,0.181,7.32762432135939e-205,"0","PLAC8",0.212
"SOCS3",1.9702362452987e-205,0.498227399729121,0.324,0.14,4.45253689075053e-201,"0","SOCS3",0.184
"TMEM173",2.61867372502993e-200,0.333215037958961,0.354,0.154,5.91794075119515e-196,"0","TMEM173",0.2
"CD3E",2.61700990417375e-198,0.284113987796998,0.971,0.543,5.91418068244225e-194,"0","CD3E",0.428
"S1PR1",1.39374838654828e-197,0.385315200336897,0.354,0.165,3.14973197876046e-193,"0","S1PR1",0.189
"ABLIM1",3.86523978806331e-193,0.435103131178469,0.432,0.237,8.73505539704426e-189,"0","ABLIM1",0.195
"TIMP1",2.02364803293332e-192,0.291324995020034,0.281,0.105,4.573242189626e-188,"0","TIMP1",0.176
"CD5",1.13115486403165e-191,0.333178492587118,0.508,0.276,2.55629687722512e-187,"0","CD5",0.232
"STMN3",1.95410741019712e-191,0.33807698615718,0.254,0.091,4.41608733630447e-187,"0","STMN3",0.163
"DDIT4",1.20999905457692e-190,0.4179233525829,0.681,0.47,2.73447686343838e-186,"0","DDIT4",0.211
"NDFIP1",2.38821493198554e-190,0.426251578641742,0.623,0.475,5.39712692479413e-186,"0","NDFIP1",0.148
"SNHG8",2.84455128821493e-185,0.396622398375131,0.702,0.562,6.42840145623691e-181,"0","SNHG8",0.14
"CD48",6.84022355595205e-178,0.327247559678512,0.82,0.73,1.5458221214096e-173,"0","CD48",0.09
"LIME1",2.71405771460306e-166,0.262291938616304,0.597,0.354,6.13349902923145e-162,"0","LIME1",0.243
"ITK",5.81329901296119e-166,0.296496414356448,0.401,0.201,1.3137474439391e-161,"0","ITK",0.2
"RGCC",3.59534192499157e-159,0.321413918977162,0.38,0.197,8.12511321628845e-155,"0","RGCC",0.183
"TNFRSF25",4.69865704350322e-159,0.276801212559567,0.253,0.098,1.06184950526129e-154,"0","TNFRSF25",0.155
"EEF1G",1.99070159416478e-149,0.474512755068291,0.727,0.627,4.49878653265298e-145,"0","EEF1G",0.1
"SLC2A3",2.57855360227934e-144,0.378092155214268,0.525,0.352,5.82727328579107e-140,"0","SLC2A3",0.173
"PRMT2",1.50291785008395e-143,0.396295578326581,0.532,0.396,3.39644404940471e-139,"0","PRMT2",0.136
"ADD3",4.60733474867015e-143,0.360623897314588,0.497,0.344,1.04121157985197e-138,"0","ADD3",0.153
"DGKA",2.05240167586672e-138,0.344148837234781,0.506,0.353,4.63822254729121e-134,"0","DGKA",0.153
"INPP4B",2.24299058000157e-138,0.268286476907001,0.419,0.226,5.06893441174554e-134,"0","INPP4B",0.193
"CCND3",8.67069232560144e-137,0.30450751868529,0.665,0.523,1.95948975866267e-132,"0","CCND3",0.142
"BCL11B",2.3388280983038e-136,0.263703353531083,0.357,0.179,5.28551761935675e-132,"0","BCL11B",0.178
"C12orf57",4.66168648375314e-135,0.252130950760113,0.856,0.77,1.05349452846337e-130,"0","C12orf57",0.086
"NOP53",1.41393620477395e-131,0.344783607552585,0.722,0.655,3.19535442916864e-127,"0","NOP53",0.0669999999999999
"EIF4B",4.15259832338362e-129,0.289934273699785,0.8,0.731,9.38445695101465e-125,"0","EIF4B",0.0690000000000001
"TOB1",1.1124457271049e-127,0.354109012980969,0.286,0.147,2.51401609868436e-123,"0","TOB1",0.139
"DUSP1",1.85362682701368e-112,0.303480458408998,0.663,0.536,4.18901126636822e-108,"0","DUSP1",0.127
"NELL2",7.38577298432251e-110,0.30259026548465,0.292,0.151,1.66911083672704e-105,"0","NELL2",0.141
"PCED1B-AS1",1.09501506381289e-108,0.430697934964496,0.436,0.301,2.47462454271076e-104,"0","PCED1B-AS1",0.135
"ANXA2R",2.01621649447866e-106,0.273243436900881,0.316,0.172,4.55644765587232e-102,"0","ANXA2R",0.144
"GSTK1",1.78986186006154e-104,0.254141897106563,0.784,0.749,4.04490881755308e-100,"0","GSTK1",0.035
"DNAJB1",6.63069125828709e-104,0.334068942404158,0.506,0.379,1.4984699174603e-99,"0","DNAJB1",0.127
"RASGRP2",1.0964489857757e-97,0.312418133674928,0.395,0.273,2.47786506295451e-93,"0","RASGRP2",0.122
"CDC25B",1.00368599525564e-96,0.284268838505654,0.336,0.203,2.26822998067823e-92,"0","CDC25B",0.133
"RBL2",1.16628683094281e-92,0.287836058551044,0.52,0.411,2.63569160924767e-88,"0","RBL2",0.109
"THEM4",6.76799149302411e-87,0.333363575943445,0.315,0.213,1.52949839750852e-82,"0","THEM4",0.102
"ATP6V0E2",1.29681053582208e-86,0.262943339825366,0.363,0.238,2.93066212990433e-82,"0","ATP6V0E2",0.125
"CD55",1.30601242090921e-86,0.350029676083757,0.348,0.236,2.95145747001273e-82,"0","CD55",0.112
"TLE5",9.10027341096664e-85,0.431934955725515,0.406,0.31,2.05657078814435e-80,"0","TLE5",0.096
"GAS5",2.46562228905578e-84,0.39348818547003,0.462,0.346,5.57205981103715e-80,"0","GAS5",0.116
"IL27RA",3.8440661487009e-83,0.268693180164582,0.427,0.299,8.68720508944917e-79,"0","IL27RA",0.128
"SNHG5",3.69682721517897e-73,0.351471993256383,0.335,0.238,8.35445982358296e-69,"0","SNHG5",0.097
"JUN",2.72537238915942e-67,0.294994758306421,0.689,0.626,6.15906906226136e-63,"0","JUN",0.0629999999999999
"AES",8.82427433779192e-66,0.419900626622107,0.346,0.254,1.9941977575976e-61,"0","AES",0.092
"MCUB",4.69793204708701e-65,0.272189233813441,0.458,0.379,1.06168566332119e-60,"0","MCUB",0.079
"PIM1",2.06705692642338e-64,0.321507418813259,0.447,0.36,4.67134194802419e-60,"0","PIM1",0.087
"ARHGAP15",4.1787547178589e-63,0.250236953720397,0.535,0.465,9.44356778688933e-59,"0","ARHGAP15",0.07
"SNHG29",9.2015418942401e-62,0.373139561753731,0.482,0.404,2.07945645267932e-57,"0","SNHG29",0.078
"GPR183",1.21840161792145e-60,0.268746287913653,0.312,0.211,2.75346581634068e-56,"0","GPR183",0.101
"SNHG6",4.08889281363342e-53,0.342052338444685,0.433,0.362,9.24048886953018e-49,"0","SNHG6",0.071
"RPS10",2.30452712703063e-33,0.345751484195691,0.505,0.48,5.20800085437653e-29,"0","RPS10",0.025
"CITED2",3.7791823506606e-25,0.258657938465524,0.347,0.296,8.54057419425788e-21,"0","CITED2",0.051
"CCL5",0,3.11793967994883,0.935,0.13,0,"1","CCL5",0.805
"NKG7",0,2.85078405146158,0.879,0.111,0,"1","NKG7",0.768
"GZMK",0,2.60777651198906,0.938,0.112,0,"1","GZMK",0.826
"GZMA",0,2.42733309690315,0.856,0.079,0,"1","GZMA",0.777
"CST7",0,2.35531211276946,0.906,0.161,0,"1","CST7",0.745
"LAG3",0,2.07544915371781,0.686,0.095,0,"1","LAG3",0.591
"GZMH",0,1.93223620079541,0.455,0.023,0,"1","GZMH",0.432
"GZMB",0,1.92285769195333,0.377,0.031,0,"1","GZMB",0.346
"CD8A",0,1.83687579425893,0.716,0.142,0,"1","CD8A",0.574
"PRF1",0,1.80448220211132,0.712,0.126,0,"1","PRF1",0.586
"CXCR6",0,1.59685394461619,0.54,0.042,0,"1","CXCR6",0.498
"CCL4",0,1.50304457761947,0.709,0.073,0,"1","CCL4",0.636
"CD8B",0,1.35051730015808,0.676,0.145,0,"1","CD8B",0.531
"CXCR3",0,1.20271458085493,0.685,0.168,0,"1","CXCR3",0.517
"CMC1",0,1.17508509486323,0.577,0.257,0,"1","CMC1",0.32
"IFNG",0,1.16540431839099,0.392,0.027,0,"1","IFNG",0.365
"CD27",0,1.13473145133594,0.871,0.514,0,"1","CD27",0.357
"DUSP2",0,1.12448875020698,0.785,0.397,0,"1","DUSP2",0.388
"PTMS",0,1.118927563276,0.502,0.126,0,"1","PTMS",0.376
"LYST",0,1.11205183571867,0.597,0.162,0,"1","LYST",0.435
"EOMES",0,1.08684475062307,0.522,0.043,0,"1","EOMES",0.479
"KLRG1",0,1.08374503545308,0.428,0.077,0,"1","KLRG1",0.351
"ITM2A",0,1.06148180369652,0.807,0.351,0,"1","ITM2A",0.456
"HAVCR2",0,1.01673091456895,0.398,0.058,0,"1","HAVCR2",0.34
"CHI3L2",0,1.00863379182379,0.535,0.193,0,"1","CHI3L2",0.342
"CCL4L2",0,1.00145567046091,0.44,0.037,0,"1","CCL4L2",0.403
"APOBEC3G",0,0.997132805681929,0.613,0.252,0,"1","APOBEC3G",0.361
"CD2",0,0.994832591735469,0.895,0.469,0,"1","CD2",0.426
"CCL3",0,0.971221931976349,0.292,0.067,0,"1","CCL3",0.225
"CYTOR",0,0.962993510929905,0.549,0.172,0,"1","CYTOR",0.377
"HCST",0,0.948403371080574,0.908,0.666,0,"1","HCST",0.242
"HLA-A",0,0.917655507743163,0.998,0.975,0,"1","HLA-A",0.023
"HLA-B",0,0.897912793520319,0.994,0.972,0,"1","HLA-B",0.022
"IL32",0,0.89182165665396,0.939,0.553,0,"1","IL32",0.386
"TIMD4",0,0.891791915029399,0.288,0.018,0,"1","TIMD4",0.27
"FYN",0,0.88135919789272,0.694,0.264,0,"1","FYN",0.43
"CD3D",0,0.874053189319034,0.948,0.592,0,"1","CD3D",0.356
"TIGIT",0,0.859664669993222,0.626,0.189,0,"1","TIGIT",0.437
"F2R",0,0.852085295819445,0.376,0.038,0,"1","F2R",0.338
"SRGN",0,0.85034328956954,0.911,0.604,0,"1","SRGN",0.307
"SH2D1A",0,0.845604162029234,0.552,0.162,0,"1","SH2D1A",0.39
"KLRK1",0,0.835260781327819,0.396,0.08,0,"1","KLRK1",0.316
"CD99",0,0.81110408672822,0.853,0.61,0,"1","CD99",0.243
"CD3E1",0,0.800325612225121,0.97,0.583,0,"1","CD3E",0.387
"APMAP",0,0.795715199621245,0.559,0.274,0,"1","APMAP",0.285
"PECAM1",0,0.79361700493588,0.466,0.126,0,"1","PECAM1",0.34
"ITGB2",0,0.784926400903489,0.884,0.576,0,"1","ITGB2",0.308
"SIRPG",0,0.779901386421556,0.588,0.248,0,"1","SIRPG",0.34
"CHST12",0,0.7639971002259,0.47,0.165,0,"1","CHST12",0.305
"HLA-C",0,0.758366702999387,0.997,0.979,0,"1","HLA-C",0.018
"GIMAP4",0,0.751918847695676,0.854,0.485,0,"1","GIMAP4",0.369
"LITAF",0,0.749019987176604,0.715,0.513,0,"1","LITAF",0.202
"CTSC",0,0.74506280021492,0.696,0.459,0,"1","CTSC",0.237
"GIMAP71",0,0.728662197043228,0.88,0.507,0,"1","GIMAP7",0.373
"RNF213",0,0.715517087630217,0.749,0.565,0,"1","RNF213",0.184
"SLAMF7",0,0.711809343021607,0.395,0.087,0,"1","SLAMF7",0.308
"LCK",0,0.70771337831161,0.894,0.572,0,"1","LCK",0.322
"SLC9A3R1",0,0.707480760495656,0.721,0.465,0,"1","SLC9A3R1",0.256
"TNFRSF9",0,0.702851449402646,0.284,0.035,0,"1","TNFRSF9",0.249
"CD3G",0,0.701381056867197,0.791,0.456,0,"1","CD3G",0.335
"OASL",0,0.695904418655677,0.348,0.064,0,"1","OASL",0.284
"FASLG",0,0.692158403665178,0.289,0.02,0,"1","FASLG",0.269
"LINC01943",0,0.690755211676313,0.263,0.047,0,"1","LINC01943",0.216
"CADM1",0,0.689407438527828,0.265,0.029,0,"1","CADM1",0.236
"DENND2D",0,0.678616257861464,0.767,0.527,0,"1","DENND2D",0.24
"PDCD1",0,0.673358705078507,0.416,0.108,0,"1","PDCD1",0.308
"RAB27A",0,0.668500850083997,0.468,0.182,0,"1","RAB27A",0.286
"PRKCH",0,0.665898307959974,0.593,0.285,0,"1","PRKCH",0.308
"LSP1",0,0.66531499478309,0.873,0.757,0,"1","LSP1",0.116
"LIME11",0,0.662469727010304,0.637,0.363,0,"1","LIME1",0.274
"LINC01871",0,0.640940869304904,0.291,0.059,0,"1","LINC01871",0.232
"CTSW",0,0.637858418600854,0.336,0.06,0,"1","CTSW",0.276
"SH2D2A",0,0.617510879684811,0.503,0.219,0,"1","SH2D2A",0.284
"PYHIN1",0,0.614737020812152,0.407,0.146,0,"1","PYHIN1",0.261
"SAMD3",0,0.614043277924997,0.349,0.089,0,"1","SAMD3",0.26
"B2M",0,0.608573295012063,0.998,0.98,0,"1","B2M",0.018
"FYB1",0,0.607415176928972,0.818,0.449,0,"1","FYB1",0.369
"CD247",0,0.588771326537743,0.695,0.401,0,"1","CD247",0.294
"EVL",0,0.574507175520387,0.919,0.707,0,"1","EVL",0.212
"PSMB9",0,0.570826739782608,0.86,0.767,0,"1","PSMB9",0.093
"COTL1",0,0.570731200182146,0.882,0.813,0,"1","COTL1",0.0690000000000001
"CLIC1",0,0.563210377656339,0.887,0.81,0,"1","CLIC1",0.077
"LAT",0,0.560054671033427,0.757,0.461,0,"1","LAT",0.296
"LCP2",0,0.551078986888746,0.705,0.416,0,"1","LCP2",0.289
"SH3BGRL3",0,0.529093138489878,0.953,0.95,0,"1","SH3BGRL3",0.003
"HLA-E",0,0.50416937296234,0.988,0.956,0,"1","HLA-E",0.032
"PTPRC",0,0.495684806075132,0.963,0.928,0,"1","PTPRC",0.0349999999999999
"H3F3B",0,0.399826458604275,0.97,0.962,0,"1","H3F3B",0.00800000000000001
"TRBC2",5.4281509701746e-300,0.660445741382882,0.805,0.6,1.22670783774976e-295,"1","TRBC2",0.205
"UBC",1.31139954976324e-299,0.414940884606346,0.949,0.886,2.96363184250995e-295,"1","UBC",0.0629999999999999
"RAC2",6.88401514526107e-293,0.402745744034146,0.952,0.902,1.55571858267755e-288,"1","RAC2",0.0499999999999999
"PSTPIP1",5.88511141709857e-291,0.608177281460484,0.477,0.237,1.32997632915011e-286,"1","PSTPIP1",0.24
"ATP5F1E",1.89540222706418e-290,0.405146592778536,0.9,0.756,4.28341949294233e-286,"1","ATP5F1E",0.144
"CRTAM",1.05768673700639e-289,0.471930374141198,0.255,0.06,2.39026625696073e-285,"1","CRTAM",0.195
"IL2RB",1.89572927822372e-286,0.525213083356652,0.449,0.19,4.28415859585778e-282,"1","IL2RB",0.259
"PLEK",4.58171514216565e-280,0.540054305470902,0.532,0.274,1.03542180497802e-275,"1","PLEK",0.258
"LYAR",1.09263947584112e-277,0.701449062320376,0.426,0.208,2.46925595145335e-273,"1","LYAR",0.218
"RARRES3",2.68488790339343e-276,0.918405606008666,0.451,0.224,6.0675781728788e-272,"1","RARRES3",0.227
"FXYD2",9.02466458995706e-273,1.32097694202219,0.3,0.101,2.0394839506844e-268,"1","FXYD2",0.199
"CLEC2B",2.99850521431276e-265,0.538376482365348,0.512,0.266,6.7763219338254e-261,"1","CLEC2B",0.246
"PAXX",5.21684802655138e-258,0.601335412837324,0.584,0.387,1.17895548552035e-253,"1","PAXX",0.197
"CD96",2.48160634672855e-250,0.532312644977144,0.489,0.24,5.60818218297185e-246,"1","CD96",0.249
"HLA-F",6.40788771666149e-249,0.517999518843007,0.75,0.625,1.44811854508833e-244,"1","HLA-F",0.125
"PPDPF",1.59009396763104e-247,0.429696549377746,0.871,0.852,3.59345335744939e-243,"1","PPDPF",0.019
"ZAP70",4.1341143460483e-243,0.490698301719791,0.642,0.385,9.34268501063456e-239,"1","ZAP70",0.257
"SPN",9.34028872308888e-242,0.585502070812611,0.455,0.228,2.11081184853086e-237,"1","SPN",0.227
"IL10RA",9.48396403697847e-242,0.602715386567368,0.579,0.385,2.14328103271676e-237,"1","IL10RA",0.194
"GBP5",1.67559406406794e-240,0.563608062451144,0.476,0.234,3.78667502538713e-236,"1","GBP5",0.242
"STOM",3.4054739184014e-240,0.533302258380995,0.361,0.149,7.69603050819533e-236,"1","STOM",0.212
"TRAC",1.03591122478516e-239,0.587739818055642,0.664,0.484,2.34105577689198e-235,"1","TRAC",0.18
"PRDM1",7.40236759110551e-239,0.542434425662786,0.306,0.106,1.67286105191394e-234,"1","PRDM1",0.2
"GALM",3.89544281025191e-233,0.503500805256075,0.356,0.147,8.80331120688829e-229,"1","GALM",0.209
"CD71",1.00629535625634e-230,0.414607779851123,0.83,0.523,2.2741268756037e-226,"1","CD7",0.307
"IDH2",1.28100708297381e-227,0.599901830404761,0.559,0.396,2.89494790681252e-223,"1","IDH2",0.163
"ARL6IP5",2.06873360287112e-224,0.454948331163941,0.808,0.733,4.67513106912844e-220,"1","ARL6IP5",0.0750000000000001
"STK17A",3.08061261129763e-223,0.44466201804749,0.812,0.719,6.96187644027152e-219,"1","STK17A",0.0930000000000001
"ITGAL",1.10925999216165e-222,0.587249578217374,0.435,0.225,2.50681665628612e-218,"1","ITGAL",0.21
"S100A6",1.40561033144423e-221,0.439110008494145,0.803,0.652,3.17653878803082e-217,"1","S100A6",0.151
"ARL4C",1.37295965027522e-218,0.542317851133955,0.518,0.293,3.10275151365696e-214,"1","ARL4C",0.225
"MYO1F",1.47987851560306e-218,0.466921890220692,0.306,0.115,3.34437745741135e-214,"1","MYO1F",0.191
"LY6E",2.03259689912436e-218,0.490637509573639,0.725,0.562,4.59346573233114e-214,"1","LY6E",0.163
"RPS4Y1",4.09890070933592e-218,0.534017984475512,0.253,0.074,9.26310571302825e-214,"1","RPS4Y1",0.179
"TRIR",1.25876810417407e-217,0.449531602386905,0.751,0.638,2.84469003862298e-213,"1","TRIR",0.113
"TRG-AS1",2.2633391377182e-217,0.508634326168728,0.289,0.106,5.11492011732936e-213,"1","TRG-AS1",0.183
"ABI3",8.11030803105592e-216,0.563481896670042,0.404,0.205,1.83284851193833e-211,"1","ABI3",0.199
"PLEKHF1",9.59129070955366e-216,0.464820320602837,0.329,0.129,2.16753578745203e-211,"1","PLEKHF1",0.2
